service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10,1,1,1,1,1,0,0,20250615,20250823
12,0,0,0,0,0,1,0,20250615,20250823
13,0,0,0,0,0,0,1,20250615,20250823
16,1,1,1,1,1,0,0,20250615,20250823
18,0,0,0,0,0,1,0,20250615,20250823
19,0,0,0,0,0,0,1,20250615,20250823
22,1,1,1,1,1,0,0,20250615,20250823
24,0,0,0,0,0,1,0,20250615,20250823
25,0,0,0,0,0,0,1,20250615,20250823
28,1,1,1,1,1,0,0,20250615,20250823
30,0,0,0,0,0,1,0,20250615,20250823
31,0,0,0,0,0,0,1,20250615,20250823
40,1,1,1,1,1,0,0,20250616,20250823
42,0,0,0,0,0,1,0,20250616,20250823
43,0,0,0,0,0,0,1,20250616,20250823
46,1,1,1,1,1,0,0,20250615,20250823
48,0,0,0,0,0,1,0,20250615,20250823
49,0,0,0,0,0,0,1,20250615,20250823
52,1,1,1,1,1,0,0,20250615,20250823
54,0,0,0,0,0,1,0,20250615,20250823
55,0,0,0,0,0,0,1,20250615,20250823
